date,type,user_id,stars
26/01/2011,review,fWKvX83p0-ka4JS3dc6E5A,5
27/07/2011,review,IjZ33sJrzXqU-0X6U8NwyA,5
14/06/2012,review,IESLBzqUCLdSzSqm0eCSxQ,4
27/05/2010,review,G-WvGaISbqqaMHlNnByodA,5
05/01/2012,review,1uJFq2r5QfJG_6ExMRCaGw,5
13/12/2007,review,m2CKSsepBCoRYWxiRUsxAg,4
12/02/2010,review,riFQ3vxNpP4rWLk_CSri2A,5
12/07/2012,review,JL7GXJ9u4YMx7Rzs05NfiQ,4
17/08/2012,review,XtnfnYmnJYi71yIuGsXIUA,4
11/08/2010,review,jJAIXA46pU1swYyRCdfXtQ,5
21/10/2011,review,3rPt0LxF7rgmEUrznoH22w,5
11/01/2010,review,cGnKNX3I9rthE0-TH24-qA,5
23/12/2011,review,FvEEw1_OsrYdvwLV5Hrliw,4
20/05/2010,review,pfUwBKYYmUXeiwrhDluQcw,4
20/03/2011,review,HvqmdqWcerVWO3Gs6zbrOw,2
12/10/2008,review,HXP_0Ul-FCmA4f-k9CqvaQ,3
03/05/2010,review,j4SIzrIy0WrmW4yr4--Khg,5
06/03/2009,review,v0cTd3PNpYCkTyGKSpOfGA,3
17/11/2011,review,a0lCu-j2Sk_kHQsZi_eNgw,4
08/10/2008,review,MuqugTuR5DdIPcZ2IVP3aQ,3
28/06/2011,review,LmuKVFh03Uz318VKnUWrxA,5
13/07/2011,review,CQYc8hgKxV4enApDkx0IhA,5
05/09/2010,review,Dx9sfFU6Zn0GYOckijom-g,1
22/05/2011,review,cFtQnKzn2VDpBedy_TxlvA,5
26/05/2010,review,ChBeixVZerfFkeO0McdlbA,4
03/01/2013,review,kZ4TzrVX6qeF0OvrVTGVEw,5
21/03/2008,review,B5h25WK28rJjx4KHm4gr7g,4
30/03/2011,review,Y_ERKao0J5WsRiCtlKSNSA,4
12/07/2012,review,hre97jjSwon4bn1muHKOJg,4
09/05/2011,review,dtpJXC5p_sdWDLSobluJ3Q,5
04/05/2012,review,S9OVpXat8k5YwWCn6FAgXg,1
09/09/2012,review,in3jn5j13n51jn35k2j2jn_j5j55T,5
28/03/2010,review,2VTwjhOX3UUvgOGbxe4xfA,4
27/03/2011,review,Bk7F8IyBuOHVp6w3BAKVow,3
30/11/2011,review,ApKbwpYJdnhhgP4NbjQw2Q,1
28/12/2008,review,vUuFuf4LYxfqbZH3lYxJfw,4
16/10/2012,review,gNm48xplqt42p-NvCkzUBg,4
02/01/2011,review,5V9lfjjlY7tkXgkcDUWYyg,4
09/07/2008,review,1fRGR6XTTElRBZW_oDrpUA,4
09/11/2011,review,2sG6LKzRz91l10stVHl8uQ,4
13/03/2009,review,fuY6Bf4EtW3UwrdLQJa9_Q,4
30/06/2012,review,UTWI0z7nV5zNJLWnOz9Z5A,4
12/04/2012,review,7uzj6rJ71toRmdsXyo2suA,4
13/06/2009,review,HXU9dbOSlByXW-dB8LmJgA,4
21/12/2011,review,1FvrC35rTJ6BWFvRog7tuA,3
